"법정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"부산광역시 서구 서대신동1가 (2614010400)","5,427","5,427","347","529","634","637","886","806","769","529","256","33","1","2,576","2,576","179","261","310","314","434","382","370","213","103","10","0","2,851","2,851","168","268","324","323","452","424","399","316","153","23","1"
"부산광역시 서구 서대신동2가 (2614010500)","9,025","9,025","575","812","772","1,103","1,383","1,412","1,333","1,056","511","66","2","4,213","4,213","295","443","369","516","655","677","598","441","202","17","0","4,812","4,812","280","369","403","587","728","735","735","615","309","49","2"
"부산광역시 서구 서대신동3가 (2614010600)","13,946","13,946","642","1,491","1,289","1,252","1,948","2,428","2,407","1,628","732","124","5","6,554","6,554","333","785","629","609","900","1,187","1,076","732","265","37","1","7,392","7,392","309","706","660","643","1,048","1,241","1,331","896","467","87","4"
"부산광역시 서구 부용동1가 (2614010700)","1,635","1,635","61","135","324","244","213","206","242","142","59","8","1","735","735","31","55","145","120","97","96","98","68","23","2","0","900","900","30","80","179","124","116","110","144","74","36","6","1"
"부산광역시 서구 부용동2가 (2614010800)","1,123","1,123","21","72","250","103","94","154","172","164","78","14","1","552","552","11","33","108","60","53","86","82","86","27","6","0","571","571","10","39","142","43","41","68","90","78","51","8","1"
"부산광역시 서구 부민동1가 (2614010900)","1,259","1,259","52","122","307","119","187","154","154","118","38","8","0","553","553","28","47","115","51","90","87","69","48","18","0","0","706","706","24","75","192","68","97","67","85","70","20","8","0"
"부산광역시 서구 부민동2가 (2614011000)","299","299","0","25","139","52","9","16","28","15","12","3","0","138","138","0","14","59","25","6","8","16","6","3","1","0","161","161","0","11","80","27","3","8","12","9","9","2","0"
"부산광역시 서구 부민동3가 (2614011100)","2,956","2,956","117","246","394","293","358","507","486","370","161","22","2","1,435","1,435","60","130","199","143","185","254","232","161","67","4","0","1,521","1,521","57","116","195","150","173","253","254","209","94","18","2"
"부산광역시 서구 토성동1가 (2614011200)","2,626","2,626","151","184","277","320","368","426","469","289","131","11","0","1,266","1,266","80","95","144","151","193","211","216","122","52","2","0","1,360","1,360","71","89","133","169","175","215","253","167","79","9","0"
"부산광역시 서구 토성동2가 (2614011300)","931","931","17","44","200","106","100","144","147","108","58","7","0","434","434","12","17","90","55","55","77","65","39","21","3","0","497","497","5","27","110","51","45","67","82","69","37","4","0"
"부산광역시 서구 토성동3가 (2614011400)","560","560","15","29","84","73","51","88","105","66","43","6","0","268","268","10","16","34","39","29","44","49","32","14","1","0","292","292","5","13","50","34","22","44","56","34","29","5","0"
"부산광역시 서구 아미동1가 (2614011500)","243","243","2","7","42","29","13","47","43","42","16","1","1","110","110","0","2","17","18","6","22","22","15","8","0","0","133","133","2","5","25","11","7","25","21","27","8","1","1"
"부산광역시 서구 아미동2가 (2614011600)","5,750","5,750","101","139","613","644","453","838","1,185","1,129","555","92","1","2,828","2,828","55","74","277","333","263","493","617","504","191","21","0","2,922","2,922","46","65","336","311","190","345","568","625","364","71","1"
"부산광역시 서구 토성동4가 (2614011700)","306","306","2","2","68","34","32","57","40","38","29","4","0","142","142","1","0","24","16","16","38","23","15","8","1","0","164","164","1","2","44","18","16","19","17","23","21","3","0"
"부산광역시 서구 토성동5가 (2614011800)","1,815","1,815","53","112","211","190","205","304","367","265","94","13","1","873","873","22","57","95","105","110","151","171","121","39","1","1","942","942","31","55","116","85","95","153","196","144","55","12","0"
"부산광역시 서구 초장동 (2614011900)","3,444","3,444","42","120","225","224","326","545","784","726","402","49","1","1,740","1,740","20","54","126","143","181","327","410","336","133","9","1","1,704","1,704","22","66","99","81","145","218","374","390","269","40","0"
"부산광역시 서구 충무동1가 (2614012000)","1,358","1,358","28","55","95","148","143","202","316","262","97","12","0","671","671","13","30","47","71","78","109","168","109","42","4","0","687","687","15","25","48","77","65","93","148","153","55","8","0"
"부산광역시 서구 충무동2가 (2614012100)","1,057","1,057","18","47","71","72","105","158","245","219","108","14","0","493","493","8","21","40","40","57","88","110","90","38","1","0","564","564","10","26","31","32","48","70","135","129","70","13","0"
"부산광역시 서구 충무동3가 (2614012200)","589","589","13","19","33","51","53","118","129","112","55","6","0","284","284","5","6","15","21","26","65","75","49","21","1","0","305","305","8","13","18","30","27","53","54","63","34","5","0"
